seed,problem,total_vars,alpha,beta,rho,tau_min,tau_max,num_ants,best_cycle,final_assigned,success,total_cycles,runtime_ms
90123,P16_81,100,1.00,0.00,0.01,0.0100,4.00,30,28,86,false,50,179245
90123,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,32,86,false,50,189904
90123,P16_81,100,3.00,0.00,0.01,0.0100,4.00,30,11,88,false,50,187848
101234,P16_81,100,0.00,0.00,0.01,0.0100,4.00,30,19,84,false,50,176422
101234,P16_81,100,1.00,0.00,0.01,0.0100,4.00,30,6,86,false,50,161354
101234,P16_81,100,2.00,0.00,0.01,0.0100,4.00,30,21,86,false,50,169040
101234,P16_81,100,3.00,0.00,0.01,0.0100,4.00,30,11,85,false,50,182956
12345,P26_82,100,0.00,0.00,0.01,0.0100,4.00,30,7,83,false,50,173598
12345,P26_82,100,1.00,0.00,0.01,0.0100,4.00,30,14,82,false,50,167016
12345,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,4,82,false,50,165655
12345,P26_82,100,3.00,0.00,0.01,0.0100,4.00,30,1,82,false,50,140109
23456,P26_82,100,0.00,0.00,0.01,0.0100,4.00,30,28,84,false,50,155887
23456,P26_82,100,1.00,0.00,0.01,0.0100,4.00,30,10,84,false,50,150986
23456,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,19,84,false,50,4357299
23456,P26_82,100,3.00,0.00,0.01,0.0100,4.00,30,22,83,false,50,170018
34567,P26_82,100,0.00,0.00,0.01,0.0100,4.00,30,13,84,false,50,170917
34567,P26_82,100,1.00,0.00,0.01,0.0100,4.00,30,1,83,false,50,166791
34567,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,39,85,false,50,164107
34567,P26_82,100,3.00,0.00,0.01,0.0100,4.00,30,3,82,false,50,176485
45678,P26_82,100,0.00,0.00,0.01,0.0100,4.00,30,29,83,false,50,163559
45678,P26_82,100,1.00,0.00,0.01,0.0100,4.00,30,20,83,false,50,116087
45678,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,45,84,false,50,100334
45678,P26_82,100,3.00,0.00,0.01,0.0100,4.00,30,39,82,false,50,101008
56789,P26_82,100,0.00,0.00,0.01,0.0100,4.00,30,11,83,false,50,123100
56789,P26_82,100,1.00,0.00,0.01,0.0100,4.00,30,35,84,false,50,123213
56789,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,2,82,false,50,122537
56789,P26_82,100,3.00,0.00,0.01,0.0100,4.00,30,2,82,false,50,126532
67890,P26_82,100,0.00,0.00,0.01,0.0100,4.00,30,18,83,false,50,125632
67890,P26_82,100,1.00,0.00,0.01,0.0100,4.00,30,10,84,false,50,129363
67890,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,34,85,false,50,1574218
67890,P26_82,100,3.00,0.00,0.01,0.0100,4.00,30,16,85,false,50,115748
78901,P26_82,100,0.00,0.00,0.01,0.0100,4.00,30,36,85,false,50,114658
78901,P26_82,100,1.00,0.00,0.01,0.0100,4.00,30,21,83,false,50,112773
78901,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,24,83,false,50,110890
78901,P26_82,100,3.00,0.00,0.01,0.0100,4.00,30,5,82,false,50,112627
89012,P26_82,100,0.00,0.00,0.01,0.0100,4.00,30,38,84,false,50,114344
89012,P26_82,100,1.00,0.00,0.01,0.0100,4.00,30,6,81,false,50,111752
89012,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,30,85,false,50,112272
89012,P26_82,100,3.00,0.00,0.01,0.0100,4.00,30,9,82,false,50,112673
90123,P26_82,100,0.00,0.00,0.01,0.0100,4.00,30,1,84,false,50,102229
90123,P26_82,100,1.00,0.00,0.01,0.0100,4.00,30,46,83,false,50,107282
90123,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,15,83,false,50,100884
90123,P26_82,100,3.00,0.00,0.01,0.0100,4.00,30,20,83,false,50,102663
101234,P26_82,100,0.00,0.00,0.01,0.0100,4.00,30,26,85,false,50,105657
101234,P26_82,100,1.00,0.00,0.01,0.0100,4.00,30,0,83,false,50,103479
101234,P26_82,100,2.00,0.00,0.01,0.0100,4.00,30,0,83,false,50,162238
101234,P26_82,100,3.00,0.00,0.01,0.0100,4.00,30,4,84,false,50,163383
12345,P41_66,100,0.00,0.00,0.01,0.0100,4.00,30,16,86,false,50,136492
12345,P41_66,100,1.00,0.00,0.01,0.0100,4.00,30,14,85,false,50,138954
12345,P41_66,100,2.00,0.00,0.01,0.0100,4.00,30,18,85,false,50,159721
12345,P41_66,100,3.00,0.00,0.01,0.0100,4.00,30,17,86,false,50,161461
23456,P41_66,100,0.00,0.00,0.01,0.0100,4.00,30,5,84,false,50,176993
23456,P41_66,100,1.00,0.00,0.01,0.0100,4.00,30,48,89,false,50,173886
