seed,problem,alpha,beta,rho,num_ants,cycle,assigned_variables,total_variables,completion_rate
23456,P16_81,3.00,0.00,0.01,30,4,83,100,0.8300
23456,P16_81,3.00,0.00,0.01,30,5,83,100,0.8300
23456,P16_81,3.00,0.00,0.01,30,6,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,7,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,8,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,9,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,10,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,11,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,12,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,13,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,14,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,15,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,16,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,17,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,18,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,19,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,20,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,21,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,22,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,23,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,24,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,25,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,26,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,27,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,28,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,29,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,30,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,31,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,32,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,33,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,34,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,35,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,36,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,37,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,38,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,39,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,40,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,41,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,42,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,43,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,44,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,45,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,46,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,47,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,48,84,100,0.8400
23456,P16_81,3.00,0.00,0.01,30,49,84,100,0.8400
34567,P16_81,0.00,0.00,0.01,30,0,83,100,0.8300
34567,P16_81,0.00,0.00,0.01,30,1,85,100,0.8500
34567,P16_81,0.00,0.00,0.01,30,2,85,100,0.8500
34567,P16_81,0.00,0.00,0.01,30,3,85,100,0.8500
34567,P16_81,0.00,0.00,0.01,30,4,85,100,0.8500
34567,P16_81,0.00,0.00,0.01,30,5,85,100,0.8500
34567,P16_81,0.00,0.00,0.01,30,6,85,100,0.8500
34567,P16_81,0.00,0.00,0.01,30,7,85,100,0.8500
34567,P16_81,0.00,0.00,0.01,30,8,85,100,0.8500
34567,P16_81,0.00,0.00,0.01,30,9,85,100,0.8500
34567,P16_81,0.00,0.00,0.01,30,10,85,100,0.8500
34567,P16_81,0.00,0.00,0.01,30,11,85,100,0.8500
34567,P16_81,0.00,0.00,0.01,30,12,85,100,0.8500
34567,P16_81,0.00,0.00,0.01,30,13,85,100,0.8500
34567,P16_81,0.00,0.00,0.01,30,14,85,100,0.8500
34567,P16_81,0.00,0.00,0.01,30,15,85,100,0.8500
34567,P16_81,0.00,0.00,0.01,30,16,85,100,0.8500
34567,P16_81,0.00,0.00,0.01,30,17,85,100,0.8500
34567,P16_81,0.00,0.00,0.01,30,18,85,100,0.8500
34567,P16_81,0.00,0.00,0.01,30,19,85,100,0.8500
